,"Seg._sites_Belem","Seg._sites_Xingu","Seg._sites_Tapajos","Pi_Belem","Pi_Xingu","Pi_Tapajos","Taj_D_Belem","Taj_D_Xingu","Taj_D_Tapajos","Dxy_Belem_vs_Xingu","Dxy_Belem_vs_Tapajos","Dxy_Xingu_vs_Tapajos","Fst_Belem_vs_Xingu","Fst_Belem_vs_Tapajos","Fst_Xingu_vs_Tapajos","fdM","Topology_1","Topology_2","Topology_3","Recombination","CDS_proportion","chromosome_size","GC"
"Seg._sites_Belem","NA",0,0,0,0,0,2.67478514892616E-08,4.89526863489687E-10,1.623958745256E-10,1.38689060236175E-12,3.31199512260127E-11,2.04942729453705E-11,0.002664518033176,1.35311718141296E-06,6.07119738844641E-05,0.411522217322763,0.001261260422152,0.024333176627867,0.004849962601554,1.99207033091398E-08,0.894387642281001,0.637378535899433,0.031335425814814
"Seg._sites_Xingu",0,"NA",0,0,0,0,9.67904756343785E-09,6.62283561325694E-11,3.18038928526221E-11,4.11670697531008E-13,9.77795622247868E-12,1.21014309684142E-12,0.001594282924836,6.04958966921032E-07,1.21953966991661E-05,0.457745763200522,0.001062273459274,0.025657437238671,0.003384207060878,1.61509650098424E-09,0.940192487217963,0.669706624451087,0.027021244034901
"Seg._sites_Tapajos",0,0,"NA",0,0,0,5.58806112493926E-10,2.97539770599542E-14,1.16462395283179E-11,8.65973959207622E-15,4.68514116391816E-14,1.33226762955019E-15,0.001978312320909,2.36265543129832E-07,1.7070542334352E-05,0.880627221564885,0.000415241320777,0.010156895369035,0.003994943255172,3.54493678855761E-09,0.929568348956427,0.846069038019712,0.033141350061167
"Pi_Belem",0,0,0,"NA",0,0,2.72086353447776E-10,1.79672499101002E-10,1.26187948978895E-11,3.5527136788005E-15,1.54987134237672E-13,1.00630614952024E-12,0.007057872613788,6.5369585033892E-07,0.000256955217818,0.429261532366291,0.000265556953887,0.005924226329065,0.004816320275034,1.70318790626567E-07,0.873577769269213,0.822582626929889,0.054041309976053
"Pi_Xingu",0,0,0,0,"NA",0,5.13308195948525E-09,1.32649446982214E-12,8.87170337193766E-11,7.0832228971085E-14,1.415756401002E-12,1.15907283770866E-13,0.00146523770251,9.20742512899864E-07,1.86457479602886E-05,0.656511713148764,0.001040232322417,0.022031354110554,0.004290267828356,6.79690748128792E-09,0.88288389605342,0.817910619824578,0.033967984322484
"Pi_Tapajos",0,0,0,0,0,"NA",2.75313105646546E-11,1.70086167372574E-13,9.09938790982778E-13,0,4.44089209850063E-16,2.22044604925031E-16,0.005336832302586,1.61618626925986E-07,9.83695210705626E-05,0.797179174358162,0.000140242303285,0.003850623105264,0.003911030080882,3.37458154753278E-08,0.974428845934689,0.947790263836639,0.044040020853388
"Taj_D_Belem",2.67478514892616E-08,9.67904756343785E-09,5.58806112493926E-10,2.72086353447776E-10,5.13308195948525E-09,2.75313105646546E-11,"NA",7.68985763954788E-10,1.59872115546023E-14,4.44089209850063E-16,0,8.85957973650875E-14,0.055619160431125,4.73524441879647E-09,0.004203970266997,0.468788959980437,3.12856487383328E-08,9.52105970108974E-06,0.001113449016603,6.78065645920434E-06,0.818606702535646,0.679109619341093,0.285352120710197
"Taj_D_Xingu",4.89526863489687E-10,6.62283561325694E-11,2.97539770599542E-14,1.79672499101002E-10,1.32649446982214E-12,1.70086167372574E-13,7.68985763954788E-10,"NA",7.04236668980229E-12,1.37223565843669E-13,1.31006316905768E-13,0,0.000831212634366,4.09523082112173E-09,1.4199047846386E-05,0.907857344388185,0.00011202323739,0.008528953360524,0.000856452756265,4.0914605037301E-10,0.746689314858239,0.90666497184646,0.084554249758505
"Taj_D_Tapajos",1.623958745256E-10,3.18038928526221E-11,1.16462395283179E-11,1.26187948978895E-11,8.87170337193766E-11,9.09938790982778E-13,1.59872115546023E-14,7.04236668980229E-12,"NA",0,0,0,0.015133892601715,5.91904303348656E-12,0.000403444573292,0.423242317383411,6.69180153733961E-07,0.000349080141275,0.000309064212647,5.50355827577675E-09,0.965348728529313,0.94240520710211,0.08835874902812
"Dxy_Belem_vs_Xingu",1.38689060236175E-12,4.11670697531008E-13,8.65973959207622E-15,3.5527136788005E-15,7.0832228971085E-14,0,4.44089209850063E-16,1.37223565843669E-13,0,"NA",0,0,0.017578693282861,9.03083563486007E-09,0.000810590152359,0.482689723072417,2.08464135242892E-06,0.000307663403204,0.001025634769368,1.51333685582955E-07,0.685509916572412,0.767623822846776,0.19061644728582
"Dxy_Belem_vs_Tapajos",3.31199512260127E-11,9.77795622247868E-12,4.68514116391816E-14,1.54987134237672E-13,1.415756401002E-12,4.44089209850063E-16,0,1.31006316905768E-13,0,0,"NA",0,0.022780104802413,6.87939971655283E-09,0.001129695834301,0.704420493683541,1.06046543280058E-06,0.000116922758852,0.00155277526272,2.9720477812134E-07,0.798476674733318,0.716204888765568,0.17368386851617
"Dxy_Xingu_vs_Tapajos",2.04942729453705E-11,1.21014309684142E-12,1.33226762955019E-15,1.00630614952024E-12,1.15907283770866E-13,2.22044604925031E-16,8.85957973650875E-14,0,0,0,0,"NA",0.004072080496294,6.18959106191141E-10,0.000101295342509,0.788796645676436,7.87429707349574E-06,0.001164692859515,0.000731829900591,2.19411799839975E-09,0.880943770764542,0.849769842360995,0.107057731411144
"Fst_Belem_vs_Xingu",0.002664518033176,0.001594282924836,0.001978312320909,0.007057872613788,0.00146523770251,0.005336832302586,0.055619160431125,0.000831212634366,0.015133892601715,0.017578693282861,0.022780104802413,0.004072080496294,"NA",0.001103912480355,6.42489819568937E-07,0.996361745316315,0.689247412499889,0.343406056716163,0.040196176396319,1.79402219742109E-05,0.657322979634178,0.204350654872034,0.010122907525219
"Fst_Belem_vs_Tapajos",1.35311718141296E-06,6.04958966921032E-07,2.36265543129832E-07,6.5369585033892E-07,9.20742512899864E-07,1.61618626925986E-07,4.73524441879647E-09,4.09523082112173E-09,5.91904303348656E-12,9.03083563486007E-09,6.87939971655283E-09,6.18959106191141E-10,0.001103912480355,"NA",0.000190777132781,0.422009942283779,1.48116450113811E-05,0.003308546971665,0.000298036059543,3.38651817699542E-09,0.808749052594565,0.575100956451754,0.059417175295028
"Fst_Xingu_vs_Tapajos",6.07119738844641E-05,1.21953966991661E-05,1.7070542334352E-05,0.000256955217818,1.86457479602886E-05,9.83695210705626E-05,0.004203970266997,1.4199047846386E-05,0.000403444573292,0.000810590152359,0.001129695834301,0.000101295342509,6.42489819568937E-07,0.000190777132781,"NA",0.841443499798257,0.210900013078611,0.970809781905077,0.012939339155416,2.35507147117175E-08,0.735857191936019,0.176243308472852,0.000730965804966
"fdM",0.411522217322763,0.457745763200522,0.880627221564885,0.429261532366291,0.656511713148764,0.797179174358162,0.468788959980437,0.907857344388185,0.423242317383411,0.482689723072417,0.704420493683541,0.788796645676436,0.996361745316315,0.422009942283779,0.841443499798257,"NA",0.418996743456304,0.960728273776604,0.110648240868037,0.656053299254121,0.997460269901583,0.833495359308412,0.503467105922981
"Topology_1",0.001261260422152,0.001062273459274,0.000415241320777,0.000265556953887,0.001040232322417,0.000140242303285,3.12856487383328E-08,0.00011202323739,6.69180153733961E-07,2.08464135242892E-06,1.06046543280058E-06,7.87429707349574E-06,0.689247412499889,1.48116450113811E-05,0.210900013078611,0.418996743456304,"NA",2.42270830064228E-08,1.57027491904937E-05,0.005393499461374,0.52668934916203,0.550115611992877,0.562428444008332
"Topology_2",0.024333176627867,0.025657437238671,0.010156895369035,0.005924226329065,0.022031354110554,0.003850623105264,9.52105970108974E-06,0.008528953360524,0.000349080141275,0.000307663403204,0.000116922758852,0.001164692859515,0.343406056716163,0.003308546971665,0.970809781905077,0.960728273776604,2.42270830064228E-08,"NA",0.156990367962751,0.165535002146336,0.439167230545246,0.225667249245896,0.309308813144174
"Topology_3",0.004849962601554,0.003384207060878,0.003994943255172,0.004816320275034,0.004290267828356,0.003911030080882,0.001113449016603,0.000856452756265,0.000309064212647,0.001025634769368,0.00155277526272,0.000731829900591,0.040196176396319,0.000298036059543,0.012939339155416,0.110648240868037,1.57027491904937E-05,0.156990367962751,"NA",0.000778241299086,0.866465514860554,0.652412125010674,0.810888799197305
"Recombination",1.99207033091398E-08,1.61509650098424E-09,3.54493678855761E-09,1.70318790626567E-07,6.79690748128792E-09,3.37458154753278E-08,6.78065645920434E-06,4.0914605037301E-10,5.50355827577675E-09,1.51333685582955E-07,2.9720477812134E-07,2.19411799839975E-09,1.79402219742109E-05,3.38651817699542E-09,2.35507147117175E-08,0.656053299254121,0.005393499461374,0.165535002146336,0.000778241299086,"NA",0.760713075247567,0.191672721604277,0.005933306659103
"CDS_proportion",0.894387642281001,0.940192487217963,0.929568348956427,0.873577769269213,0.88288389605342,0.974428845934689,0.818606702535646,0.746689314858239,0.965348728529313,0.685509916572412,0.798476674733318,0.880943770764542,0.657322979634178,0.808749052594565,0.735857191936019,0.997460269901583,0.52668934916203,0.439167230545246,0.866465514860554,0.760713075247567,"NA",0.841727282024732,0.012630504633004
"chromosome_size",0.637378535899433,0.669706624451087,0.846069038019712,0.822582626929889,0.817910619824578,0.947790263836639,0.679109619341093,0.90666497184646,0.94240520710211,0.767623822846776,0.716204888765568,0.849769842360995,0.204350654872034,0.575100956451754,0.176243308472852,0.833495359308412,0.550115611992877,0.225667249245896,0.652412125010674,0.191672721604277,0.841727282024732,"NA",0.158091212801488
"GC",0.031335425814814,0.027021244034901,0.033141350061167,0.054041309976053,0.033967984322484,0.044040020853388,0.285352120710197,0.084554249758505,0.08835874902812,0.19061644728582,0.17368386851617,0.107057731411144,0.010122907525219,0.059417175295028,0.000730965804966,0.503467105922981,0.562428444008332,0.309308813144174,0.810888799197305,0.005933306659103,0.012630504633004,0.158091212801488,"NA"
